event_type,language,tone,template_text
birthday,en,warm,"Happy Birthday {{name}}! 🎂 Wishing you a day as wonderful as you are. May this year bring you joy, health, and everything your heart desires."
birthday,en,casual,"Hey {{name}}! Happy Birthday! 🎉 Hope your day is absolutely amazing — you deserve all the good things!"
birthday,en,fun,"Arre {{name}}! It's your birthday! 🥳 Time to eat cake, make wishes, and pretend you're not getting older. Have a blast!"
birthday,en,formal,"Dear {{name}}, warmest birthday greetings to you. May this special day mark the beginning of a year filled with success and good health."
birthday,hi,warm,"{{name}} को जन्मदिन की हार्दिक शुभकामनाएं! 🎂 भगवान आपको सदा खुश और स्वस्थ रखें। आपका यह साल बहुत शुभ हो।"
birthday,hi,casual,"अरे {{name}} यार! जन्मदिन मुबारक हो! 🎉 खूब मस्ती करो आज, पार्टी करो!"
birthday,hi,fun,"{{name}} भाई/दीदी! Happy Birthday! 🥳 एक और साल बड़े हो गए, पर हम तो वैसे ही रहेंगे! केक कहाँ है?"
birthday,hi,formal,"आदरणीय {{name}}, आपको जन्मदिन की हार्दिक बधाई एवं शुभकामनाएं। ईश्वर आपको दीर्घायु और सुखमय जीवन प्रदान करें।"
birthday,hinglish,warm,"Happy Birthday {{name}}! 🎂 Yaar, aaj ka din bahut khaas hai — tumhara! Dil se wish kar raha/rahi hoon ki ye saal tumhare liye best ho!"
birthday,hinglish,casual,"Aye {{name}}! Birthday mubarak ho bhai! 🎉 Party karo, cake khao, aur enjoy karo pura din!"
birthday,hinglish,fun,"Oye {{name}}! Happy Birthday! 🥳 Ek aur saal beet gaya, par tu toh waise hi bindaas hai! Cake cut kar jaldi!"
birthday,hinglish,formal,"{{name}}, aapko janamdin ki bahut bahut badhaai! 🎂 Ishwar aapko lambi umar aur khushiyon se bhara jeevan de."
anniversary,en,warm,"Happy Anniversary {{name}}! 💍 Wishing you both a lifetime of love, laughter, and beautiful moments together."
anniversary,en,casual,"Happy Anniversary {{name}}! 💕 Hope you guys have a wonderful day celebrating your special bond!"
anniversary,en,fun,"Happy Anniversary {{name}}! 🎊 Another year of putting up with each other — and making it look easy! Cheers to you both!"
anniversary,en,formal,"Warmest congratulations on your anniversary, {{name}}. May your bond continue to grow stronger with each passing year."
