chat_type,event_type,language,tone,template_text
personalized,birthday,en,warm,Happy Birthday {{name}}! 🎂 Wishing you a day as wonderful as you are — full of love and laughter.
personalized,birthday,en,warm,"Many happy returns, {{name}}! 🎉 May this year bring you everything your heart desires."
personalized,birthday,en,warm,Happy Birthday {{name}}! 🌟 You deserve all the joy and happiness in the world today and always.
personalized,birthday,en,warm,"Wishing you a beautiful birthday, {{name}}! 💐 May every moment of today be filled with warmth."
personalized,birthday,en,warm,"Happy Birthday {{name}}! 🥳 Sending you love, good health, and wonderful memories this year."
personalized,birthday,en,warm,"It's your special day, {{name}}! 🎂 Hope it's as amazing as you make every day for those around you."
personalized,birthday,en,warm,Happy Birthday {{name}}! ✨ May the year ahead be your best chapter yet.
personalized,birthday,en,warm,"Warmest birthday wishes, {{name}}! 🎁 May good health and happiness be yours always."
personalized,birthday,en,warm,Happy Birthday {{name}}! 🌈 Here's to a year filled with beautiful moments and cherished memories.
personalized,birthday,en,warm,"Wishing you a truly wonderful birthday, {{name}}! 🥂 May all your dreams bloom this year."
personalized,birthday,en,casual,"Hey {{name}}, Happy Birthday! 🎉 Hope you're having the most amazing day!"
personalized,birthday,en,casual,Happy Birthday {{name}}! 🎂 Hope it's absolutely brilliant from start to finish!
personalized,birthday,en,casual,Happy B-day {{name}}! 🥳 Go celebrate — you totally deserve it!
personalized,birthday,en,casual,Hey {{name}}! It's your day — enjoy every single second of it! 🎈
personalized,birthday,en,casual,Happy Birthday {{name}}! 🎊 Hope someone's sorted the cake situation!
personalized,birthday,en,casual,"Big birthday wishes, {{name}}! 🎂 Hope you're surrounded by good people and great food!"
personalized,birthday,en,casual,Happy Birthday {{name}}! 🙌 Hope today's full of fun and all your favourite things!
personalized,birthday,en,casual,It's {{name}}'s birthday! 🎉 Hope you're having the best time right now!
personalized,birthday,en,casual,Happy Birthday {{name}}! 🎁 Treat yourself today — you only turn this age once!
personalized,birthday,en,casual,Wishing the happiest of birthdays to {{name}}! 🥳 Go have an absolute blast!
personalized,birthday,en,fun,Happy Birthday {{name}}! 🎂 You're not getting older — you're levelling up!
personalized,birthday,en,fun,"Congrats on another trip around the sun, {{name}}! 🌍 Hope the ride only gets better!"
personalized,birthday,en,fun,Happy Birthday {{name}}! 🥳 Age is just a number — and yours is looking great!
personalized,birthday,en,fun,"{{name}}, Happy Birthday! 🎉 Today's agenda: cake, zero responsibilities, repeat."
personalized,birthday,en,fun,"Happy Birthday {{name}}! 🎂 The older you get, the better the stories — keep collecting them!"
personalized,birthday,en,fun,"{{name}}, you magnificent human! 🎊 Happy Birthday — somehow getting cooler every year!"
personalized,birthday,en,fun,Happy Birthday {{name}}! 🎈 May all your wishes come true — except that one. You know which one.
personalized,birthday,en,fun,It's {{name}}'s birthday! 🥳 Full permission to be extra today — use it wisely!
personalized,birthday,en,fun,Happy Birthday {{name}}! 🎂 May your wifi be strong and your birthday be legendary!
personalized,birthday,en,fun,"{{name}}, Happy Birthday! 🎉 Eat the cake — birthday calories are scientifically proven not to count!"
personalized,birthday,en,formal,"Dear {{name}}, warmest birthday greetings. May this year bring you continued success and good health."
personalized,birthday,en,formal,Happy Birthday {{name}}. May this special occasion be celebrated with great joy and bring you prosperity.
personalized,birthday,en,formal,"On your birthday {{name}}, I extend my warmest wishes for a year filled with achievement and happiness."
personalized,birthday,en,formal,"Dear {{name}}, please accept my sincere birthday congratulations. May this year be truly fulfilling."
personalized,birthday,en,formal,"Many happy returns of the day, {{name}}. May every year bring you closer to your goals."
personalized,birthday,en,formal,"Happy Birthday {{name}}. I wish you excellent health, peace of mind, and lasting happiness."
personalized,birthday,en,formal,"Dear {{name}}, heartiest birthday congratulations. May the coming year be filled with great accomplishments."
personalized,birthday,en,formal,"On this auspicious occasion {{name}}, I extend my warmest birthday greetings to you."
personalized,birthday,en,formal,Happy Birthday {{name}}. May you be blessed with wonderful health and continued success this year.
personalized,birthday,en,formal,"Dear {{name}}, wishing you a very Happy Birthday and a year that surpasses all expectations."
personalized,birthday,hi,warm,"{{name}}, जन्मदिन की हार्दिक शुभकामनाएं! 🎂 भगवान आपको सदा खुश और स्वस्थ रखें।"
personalized,birthday,hi,warm,जन्मदिन मुबारक हो {{name}}! 🎉 आपका यह दिन बहुत खास और यादगार हो।
personalized,birthday,hi,warm,"{{name}}, जन्मदिन की ढेरों बधाइयां! 🌟 आपकी हर मनोकामना पूरी हो इस साल।"
personalized,birthday,hi,warm,"प्यारे {{name}}, जन्मदिन मुबारक! 💐 दिल से दुआ है आप हमेशा मुस्कुराते रहें।"
personalized,birthday,hi,warm,"{{name}}, आपके जन्मदिन पर ढेर सारा प्यार! 🎈 भगवान आपको लंबी उम्र दें।"
personalized,birthday,hi,warm,जन्मदिन की बधाई {{name}} जी! 🎂 आपके सारे सपने पूरे हों।
personalized,birthday,hi,warm,"{{name}}, आज आपका खास दिन है! ✨ खूब खुश रहें और जश्न मनाएं।"
personalized,birthday,hi,warm,जन्मदिन मुबारक {{name}}! 🌺 ईश्वर आप पर अपनी कृपा बनाए रखें।
