event_type,language,tone,template_text
lohri,hinglish,warm,"Happy Lohri {{name}}! 🔥 Is pyaare tyohar ki aag ki tarah aapki zindagi mein bhi roshni aur garmahat bani rahe!"
lohri,hinglish,fun,"Oye {{name}}! Lohri mubarak! 🔥 Til ke laddoo khao, paani phero aur dil khol ke nacho!"
republic day,hinglish,warm,"Happy Republic Day {{name}}! 🇮🇳 Iss mahaan desh ka hissa hone par garv hai. Jai Hind!"
republic day,en,formal,"Happy Republic Day {{name}}! 🇮🇳 Let us take pride in our great nation and its democratic values. Jai Hind!"
baisakhi,hinglish,warm,"Happy Baisakhi {{name}}! 🌾 Nai fasal, nai umeedein — is tyohar ki khushi aur samriddhi aapke ghar mein bhi aaye!"
baisakhi,hinglish,fun,"Baisakhi mubarak {{name}}! 🌾💃 Bhangra paao, lassi piyo aur dil khol ke celebrate karo!"
baisakhi,hi,warm,"{{name}}, बैसाखी की हार्दिक शुभकामनाएं! 🌾 नई फसल और नई उमंगों के साथ यह पर्व आपके जीवन में भी खुशियाँ लाए।"
independence day,hinglish,warm,"Happy Independence Day {{name}}! 🇮🇳 Azaadi ke is parv par desh ke un veer jawanon ko salaam jo humari raksha karte hain. Jai Hind!"
independence day,en,formal,"Happy Independence Day {{name}}! 🇮🇳 May we always cherish this hard-won freedom and work together to build a stronger nation. Jai Hind!"
maha shivratri,hi,warm,"{{name}}, महाशिवरात्रि की हार्दिक शुभकामनाएं! 🙏 भगवान शिव की कृपा सदा आप पर बनी रहे। हर हर महादेव!"
maha shivratri,hinglish,warm,"Happy Maha Shivratri {{name}}! 🙏 Bholenath ki kripa se aapka jeevan khushiyon se bhara rahe. Har Har Mahadev!"
raksha bandhan,hinglish,warm,"Happy Raksha Bandhan {{name}}! 🎀 Yeh dhaga sirf haath se nahi, dilon ko bhi baandhta hai. Bhai-behen ka yeh rishta amar rahe!"
raksha bandhan,hi,warm,"{{name}}, रक्षाबंधन की हार्दिक शुभकामनाएं! 🎀 यह पवित्र धागा भाई-बहन के प्रेम को और मजबूत करे। सदा खुश रहें!"
janmashtami,hi,warm,"{{name}}, जन्माष्टमी की हार्दिक शुभकामनाएं! 🦚 श्री कृष्ण जन्माष्टमी के इस पावन अवसर पर भगवान कान्हा आपके जीवन में सुख और समृद्धि लाएं।"
janmashtami,hinglish,warm,"Happy Janmashtami {{name}}! 🦚 Kanha ke janam ki khushi mein aap bhi jhoomein, naachein aur celebrate karein. Jai Shri Krishna!"
janmashtami,hinglish,fun,"Happy Janmashtami {{name}}! 🦚🎉 Matki phodo, makhan khao aur Kanha baba ko yaad karo! Jai Shri Krishna!"
ganesh chaturthi,hi,warm,"{{name}}, गणेश चतुर्थी की हार्दिक शुभकामनाएं! 🐘 गणपति बप्पा आपके जीवन से सभी विघ्न दूर करें और सुख-समृद्धि प्रदान करें।"
ganesh chaturthi,hinglish,warm,"Happy Ganesh Chaturthi {{name}}! 🐘 Ganpati Bappa Morya! Bappa aapke ghar mein khushi, sukh aur samriddhi lekar aayein!"
navratri,hi,warm,"{{name}}, नवरात्रि की हार्दिक शुभकामनाएं! 🌸 माँ दुर्गा का आशीर्वाद आप पर सदा बना रहे। जय माता दी!"
navratri,hinglish,warm,"Happy Navratri {{name}}! 🌸 Maa Durga ki shakti aur ashirwaad se aapka jeevan roshan ho. Jai Mata Di!"
navratri,hinglish,fun,"Happy Navratri {{name}}! 🌸💃 Garba ke liye taiyaar ho jao — naach, gaana aur Maa ka ashirwaad! Jai Mata Di!"
dussehra,hi,warm,"{{name}}, विजयदशमी की हार्दिक शुभकामनाएं! 🏹 बुराई पर अच्छाई की इस जीत का पर्व आपके जीवन में भी विजय और सफलता लाए।"
dussehra,hi,formal,"आदरणीय {{name}}, विजयदशमी की हार्दिक शुभकामनाएं। 🏹 यह पर्व आपके जीवन में धर्म, सत्य और विजय का संचार करे।"
dussehra,hinglish,warm,"Happy Dussehra {{name}}! 🏹 Burai par acchai ki jeet ka yeh tyohar aapke jeevan mein bhi nayi umang aur safalta laye. Jai Shri Ram!"
dussehra,hinglish,fun,"Happy Dussehra {{name}}! 🏹🎆 Raavan toh jal gaya — ab sab burai bhi khatam! Iss khushi mein celebrate karo!"
christmas,en,fun,"Merry Christmas {{name}}! 🎄🎅 May your Christmas be merry, your gifts be wrapped, and your relatives be at a manageable distance. Ho ho ho!"
christmas,hinglish,casual,"Merry Christmas {{name}}! 🎄 Christmas tree saja lo, gifts exchange karo aur is khoobsurat tyohar ka maza lo. Have a great one!"
christmas,hi,warm,"{{name}}, क्रिसमस की हार्दिक शुभकामनाएं! 🎄 यह पर्व आपके जीवन में ढेरों खुशियाँ, प्रेम और शांति लेकर आए।"
diwali,hi,fun,"{{name}} के घर दिवाली आई रे! 🪔🎆 दिए जलाओ, मिठाई बाँटो और खूब धमाका करो। शुभ दीपावली!"
diwali,hinglish,fun,"Happy Diwali {{name}}! 🪔✨ Crackers, mithai, rangoli aur family — yahi toh asli Diwali hai! Dil se Shubh Deepawali!"
diwali,hinglish,formal,"{{name}}, Shubh Deepawali! 🪔 Is prakash parv par Maa Lakshmi aapke ghar mein sukh, samriddhi aur khushi lekar aayein."
diwali,en,fun,"Happy Diwali {{name}}! 🪔🎇 May your diyas burn bright, your rangoli go viral, and your sweets be calorie-free this year!"
diwali,hi,formal,"आदरणीय {{name}}, दीपावली की हार्दिक शुभकामनाएं। 🪔 माँ लक्ष्मी आपके घर में सुख, शांति और समृद्धि का वास करें।"
holi,hinglish,casual,"Happy Holi {{name}}! 🌈 Rang lagao, bhang piyo (thoda kam!) aur is tyohar ko dil se enjoy karo!"
holi,hi,fun,"{{name}}, होली है! 🌈 रंगों से खेलो, गुझिया खाओ और सबको रंग लगाओ — बुरा न मानो होली है!"
holi,en,warm,"Happy Holi {{name}}! 🎨 May the colours of this joyful festival paint your life with happiness, health, and beautiful memories."
holi,hi,casual,"{{name}} यार, होली मुबारक! 🌈 आज तो सब माफ है — रंग लगाओ, नाचो और खूब मस्ती करो!"
new year,hi,fun,"{{name}}, नया साल मुबारक हो! 🎉 पिछले साल की सब परेशानियाँ भूल जाओ — नए साल में नई उमंग और नई मस्ती!"
new year,hinglish,fun,"Happy New Year {{name}}! 🎊 Purane saal ki sab tensionen bhool jao — naye saal mein sirf masti, khushi aur dhamal!"
new year,hi,casual,"{{name}} यार! नया साल मुबारक! 🥂 इस साल कुछ नया करो, कुछ अलग करो — बस खुश रहो!"
new year,en,fun,"Happy New Year {{name}}! 🎉 May this year bring you more joy and less drama than the last one. Here's to an epic year ahead!"
new year,hinglish,formal,"{{name}}, Naye Saal ki bahut bahut shubhkamnayein! 🎊 Yeh naya saal aapke jeevan mein khushi, sehat aur safalta lekar aaye."
